"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","3072698345.80565","3467819352.78404","3645744805.68489","3735106510.87238","3905585155.0076","3651861912.27732","3052393636.4318","3392021222.52906","3702393658.68843","3863564047.18578","4229787378.87456","4616223477.21288","4751063992.46825","5200266050.40256","5567553552.34054","5849468115.18505","6101861655.74214","6349202600.38155","6183941092.316","6621186419.4161","9063147900.87911","8976446419.94569","9632411109.08315","11075116593.9503","13150516509.0487","15969151305.8362","18505545360.2489","21730577940.9027","25711151182.4594","22938462111.2991","25713544824.9449","29044378131.6823","30756789965.8507","32890110533.0908","",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","169802257.755072","190096176.551435","212252822.19384","237742768.508112","266664053.749305","300392162.479928","340000006.35783","390196085.727844","444901969.103758","528137264.777864","538423167.528913","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","4961119000","5353524000","6019972000","6327552000","6516651000","6957996000","6949317000","7094413000","7706222000","7965588000","8318996000","8246650000","7820420000","7910000000","7931000000","8219000000","8420000000","",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255802465.43943","1866572973.11395","2786045391.91109","3671816537.75935","4116699576.17583","4685729738.56209","5505984455.95855","5748990554.79945","6651226179.01829","8370020196.19158","10022840634.9206","10903779487.5056","12550175101.0198","15441062281.3156","18711890353.5051","17264893103.2034","16847493058.8474","18318439121.4727","16906005781.1063","17851326454.4159","",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17369598958.1159","17813389815.004","17022180272.211","16280372553.0518","14931599418.4226","13972637603.2102","14756861538.4615","14128412417.193","15222014828.3039","12138485328.6267","12736856485.1068","12354820143.8849","14594925392.9691","17825436034.5366","23141587717.7633","30210091836.8294","36961918858.7385","45275711995.825","60763483146.0674","49208656976.0389","55220932613.958","59734593904.6402","63615445566.8483","71709513654.3393","",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","28072504.9840856","29965035.3920036","31857562.9999186","33750090.6078336","36194610.8013962","40069931.5396865","44405596.034382","47379308.7867437","44910180.7948118","47305390.4372017","53233534.3021169","59207317.5896141","66062499.015592","78343558.5113933","103216371.966438","118066302.075032","96905828.767564","117650000","136300000","151800000","194750000","192900000","179250000","189000000","210900000","209150000","227850000","276550016","314900000","363150016","413049984","444720726.46485","518143678.4859","559759653.31005","580760211.26315","620031771.8577","641271333.3631","654198121.10575","688872472.7248","732607993.76895","831750000","871840755.39675","932676403.18105","990350000","1057850000","1114202700","1217442150","1290542550","1368625150","1336957250","1397113450","1487005600","1573867300","1624294250","",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","84466654.0801544","89249986.7007156","94149985.9705588","96366652.3069165","107566650.637987","114339048.962736","134173373.782802","155102984.621576","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634899968","1679900032","1820359936","1867160064","2030749952","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","5414299000","5895048000","6109928000","5806378000","5744414000","5550771000","5473536000","","",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","563110051.920733","612518906.826491","669722541.277818","721142957.311474","812543072.505384","908874537.037037","994044553.872054","1084059814.81481","908874537.037037","964615698.653199","1017171717.17172","1095454545.45455","1257615644.97932","1263018490.75462","2100249875.06247","2404697651.17441","2732083958.02099","3227436281.85907","3758220889.55522","4421343606.18135","4537487842.57749","5891606676.18271","5594118400.16731","5422656261.71049","6169481549.37482","5377277406.71638","3959379487.6064","4347956298.51327","4597615562.66594","4715978868.21613","4867582620.20708","5343259388.76337","5643864407.82255","5734703452.22129","5981218996.99601","6715164550.84431","7396952081.04662","7925733785.53783","8497499333.04659","8285061618.15839","8397858184.79382","8141513292.12402","7905485216.17852","8082396525.99433","8773451738.91129","9549196255.88892","11451845341.2441","13120183156.7149","16674324634.2373","17339992165.2422","19649631308.1648","23948541156.1194","27035110130.246","30601157742.4023","",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","15165569912.5199","15236854859.469","19926293839.0163","23021477292.2093","21211892259.9904","21790035102.382","27062716510.5085","30591834045.3823","33875881906.0553","37458898265.2258","42327600115.9852","49204456711.657","58539008795.7658","79279057736.1044","105136007544.771","123709376566.885","152678020453.114","176171284305.289","200800891871.957","224969488839.356","235024598984.118","263561088975.615","281682304160.256","203304515490.695","209023912696.764","222942790435.318","268137224729.724","294084112392.657","330397381998.489","425595310000","461951782000","407337832905.405","390566551483.761","438299504406.263","546233380259.659","768951297894.977","839682618644.911","871200342859.687","843827363149.355","586862640399.442","644701831101.394","553582178386.192","504221228974.035","552469288267.793","663760341880.342","882185702547.247","1088916819852.94","1366823994658.72","1653508561457.08","1620188056416.93","2143067871759.89","2476694763271.16","2248780912395.68","2245673032353.76","",
"Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD","87383113.7082563","93216432.3803695","96949756.330522","109083059.168518","108383060.927864","114683045.097089","123608022.665682","137103729.870016","137300000","154400000","181500000","204010328.888222","233383639.978896","284759098.097978","340492903.658634","402158285.756234","435871861.918538","495116619.265309","552876225.283913","670312672.251523","860438453.32038","946949724.873939","989409791.650169","1050464828.03944","1144931025.91334","1198180245.50696","1315567052.9401","1448665027.59519","1540893882.55387","1703922714.56329","2023318164.38209","2007109742.66963","1950900000","2046188943.48556","2151295089.19152","2261969772.41831","2411872813.71606","2549296364.67692","2874459180.62627","3012031888.84215","3119500000","3112350000","3168600000","3271200000","3509700000","3891500000","4314050000","4513250000","4541550000","4592650000","4433700000","4368900000","4224850000","","",
"Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","114040245.655299","132758395.400497","139030445.576898","160819286.554292","161211289.690318","179080099.307461","197523179.241883","270818555.823521","433092003.579273","1073577085.64159","1168304305.65513","1423061356.64562","1732721160.94122","1941600703.60598","2803780005.51826","4928824957.9675","4366213849.57637","4264252336.4486","3844723142.45149","3782523088.4628","3523612563.06532","2358592817.12134","2754463437.79677","2690717551.18267","2985467989.54007","3520551724.13793","3701667052.55846","4183548189.07305","4105706151.75145","4087337959.93191","4734020036.68689","5115602836.87943","5197332974.13793","4051147227.53346","4600000000","6001153317.86543","5601090584.36122","5843329101.97699","6557333067.38606","7872333197.25476","9531402829.84859","11470703002.0769","12247694247.2298","14393099068.5859","10732366286.2643","12369708858.9029","16691360399.1059","16953952625.403","16111135788.9616","",
